caste,subcaste,source
Kshatriya,"['Agnikula Kshatriya', 'Aguri Ugra Kshatriya', 'Amethia', 'Bachhil', 'Bagel', 'Baghela / Veghela', 'Banafar', 'Bhadoria', 'Bhandari', 'Bhardwaj', 'Bhatraju', 'Bhavasar Kshatriya', 'Bundela', 'Chopra', 'Chudasa', 'Dangi', 'Dhawan', 'Dixit', 'Gaherwar', 'Gargvansi', 'Gaur', 'Hada', 'Haihaivanshi', 'Jaiswar', 'Janwar', 'Kandera', 'Kapur', 'Katiyar', 'Khandayat', 'Khanna', 'Khare', 'Kshatriya Raju', 'Kshatriya Raju Chandravamsam', 'Kshatriya Raju Suryavamsam', 'Kumawat', 'Kurmi', 'Mehra', 'Nagvanshi', 'Negi', 'Niari', 'Nikhumbh', 'Paliwal', 'Pawar', 'Perika Puragiri Kshatriya', 'Pundir', 'Raikwar', 'Rajkumar', 'Rajwar', 'Rama Kshatriya', 'Rathor', 'Rawal', 'Rawat', 'Sahni', 'Sami', 'Sengar', 'Seth', 'Shrinet', 'Singh', 'Sisodiya', 'Soma Vamsha Arya Kshatriya', 'Somavanshi Sahasrarjun Kshatriya', 'Somvanshi', 'Tandon', 'Tanwar', 'Thogata Veera Kshatriya', 'Tomar / Tanwar', 'Tong Kshatriya', 'Vahi', 'Vohra', 'Varma', 'Wadhwa']",shaadi & jeevansaathi
Kshatriya-Saithwar,['Mall'],shaadi & jeevansaathi
Kudumbi,[],shaadi & jeevansaathi
Kulal,,shaadi & jeevansaathi
Kulalar,[],shaadi & jeevansaathi
Kulita,[],shaadi & jeevansaathi
Kumaoni,[],shaadi & jeevansaathi
Kumawat,[],shaadi & jeevansaathi
Kumbara,,shaadi & jeevansaathi
Kumbhakar/Kumbhar,,shaadi & jeevansaathi
Kumhar,[],shaadi & jeevansaathi
Kummari,[],shaadi & jeevansaathi
Kunbi,"['Ghatode', 'Zade','Dhanoje', 'Khaire', 'Khedule', 'Lonari', 'Maratha', 'Tirale']",shaadi & jeevansaathi
Kurava,[],shaadi & jeevansaathi
Kuravan,[],shaadi & jeevansaathi
Kurmi / Kurmi Kshatriya,"['Awadhiya', 'Baghel', 'Chandel', 'Chandra', 'Chandrakar', 'Chandrawanshi', 'Chaudhary', 'Chaudhury', 'Deshmukh', 'Gangwar', 'Ghamaila', 'Jaiswar', 'Kashyap', 'Katiyar', 'Kochyasa', 'Kumar', 'Kushwaha (Koiri)', 'Mahata', 'Mahato', 'Mahto', 'Parganiha', 'Patel', 'Patidar', 'Prasad', 'Rai', 'Sachan', 'Singh', 'Verma']",shaadi & jeevansaathi
Kuruba,[],shaadi & jeevansaathi
Kuruhina Shetty,[],shaadi & jeevansaathi
Kurumbar,[],shaadi & jeevansaathi
Kurup,,shaadi & jeevansaathi
Kushwaha,[],shaadi & jeevansaathi
Kutchi,[],shaadi & jeevansaathi
Kutchi Gurjar,[],shaadi & jeevansaathi
Laxminarayan gola,[],shaadi & jeevansaathi
Leva Patil / Leva Patidar,[],shaadi & jeevansaathi
Lingayat,"['Agasa', 'Akkasali', 'Aradhya', 'Balegala', 'Banagar', 'Banajiga', 'Bhandari', 'Bilijedaru', 'Bilimagga', 'Chaturtha', 'Dikshwant', 'Ganiga', 'Gowda', 'Gowli', 'Gurav', 'Hadapada', 'Hatgar', 'Hoogar / Hugar / Jeer', 'Jadaru', 'Jangam', 'Kudu Vokkaliga', 'Kumbar / Kumbara', 'Kumbhar', 'Kuruhina Setty', 'lamba', 'Lolagonda', 'Madivala', 'Malgar', 'Mali', 'Neelagar', 'Neeli / Neelagar', 'Neygi', 'Nolamba', 'Pancham', 'Panchamasali', 'Pattasali', 'Reddy Reddi', 'Sadar', 'Sajjan / Sajjanaganigar', 'Setty', 'Shilwant', 'Shiva Simpi', 'Vani', 'Veerashaiva']",shaadi & jeevansaathi
Lohana,"['Ghoghari', 'Halai', 'Kutchi', 'Vaishnav']",shaadi & jeevansaathi
Lohar,[],shaadi & jeevansaathi
Lonia/Lunia,,shaadi & jeevansaathi
Lubana,[],shaadi & jeevansaathi
Madhesiya,,shaadi & jeevansaathi
Madiga,[],shaadi & jeevansaathi
Mahajan,,shaadi & jeevansaathi
Mahar,[],shaadi & jeevansaathi
Mahendra,[],shaadi & jeevansaathi
Maheshwari,[],shaadi & jeevansaathi
Mahindra,[],shaadi & jeevansaathi
Mahishya,,shaadi & jeevansaathi
Majabi,,shaadi & jeevansaathi
Mala,[],shaadi & jeevansaathi
Malayalee Variar,,shaadi & jeevansaathi
Mali,[],shaadi & jeevansaathi
Mallah,"['Kewat / Keot', 'Nishad']",shaadi & jeevansaathi
Mangalorean,[],shaadi & jeevansaathi
Manikpuri,[],shaadi & jeevansaathi
Manipuri,[],shaadi & jeevansaathi
Maniyani,,shaadi & jeevansaathi
Manjhi,[],shaadi & jeevansaathi
Mannadiar,,shaadi & jeevansaathi
Mannan,[],shaadi & jeevansaathi
Mapila,[],shaadi & jeevansaathi
Marar,,shaadi & jeevansaathi
Maratha,"['96 Kuli Maratha', '96K Kokanastha', 'Aramari Gabit', 'Deshastha Maratha', 'Deshmukh', 'Deshtha Maratha', 'Gomantak Maratha', 'Jhadav', 'Kokanastha Maratha', 'Kunbi Dhanoje', 'Kunbi Khaire', 'Kunbi Khedule', 'Kunbi Lonari', 'Kunbi Maratha', 'Kunbi Tirale', 'Malwani', 'Maratha Kshatriya', 'Parit', 'Patil', 'Sonar', 'Suthar', 'Vani']",shaadi & jeevansaathi
Maravar,[],shaadi & jeevansaathi
Marthomite,[],shaadi & jeevansaathi
Maruthuvar,[],shaadi & jeevansaathi
Marvar,,shaadi & jeevansaathi
Matang,[],shaadi & jeevansaathi
Maurya,"['Kachchi', 'Kushwaha']",shaadi & jeevansaathi
Meda,[],shaadi & jeevansaathi
Medara,,shaadi & jeevansaathi
Meena,[],shaadi & jeevansaathi
Meenavar,[],shaadi & jeevansaathi
Meghwal,[],shaadi & jeevansaathi
Mehra,[],shaadi & jeevansaathi
Mehtar,[],shaadi & jeevansaathi
Menon,[],shaadi & jeevansaathi
Meru Darji,[],shaadi & jeevansaathi
Mochi,[],shaadi & jeevansaathi
Modak,[],shaadi & jeevansaathi
Mogaveera,[],shaadi & jeevansaathi
Monchi,[],shaadi & jeevansaathi
Mudaliar,"['Agamudayar / Arcot / Thuluva Vellala', 'Isai Vellalar', 'Kerala Mudali', 'Kongu Vellala Gounder', 'Mudailiar Arcot', 'Mudaliar All', 'Mudaliar Saiva', 'Mudaliar Sengupta', 'Saiva Pillai Tirunelveli', 'Sengunthar / Kaikolar', 'Sozhiya Vellalar', 'Thondai Mandala Vellala', 'Veerakodi Vellala']",shaadi & jeevansaathi
Mudiraj,[],shaadi & jeevansaathi
Muthuraja,[],shaadi & jeevansaathi
Naagavamsam,[],shaadi & jeevansaathi
Nadar,['Kongu Nadar'],shaadi & jeevansaathi
Nagaralu,[],shaadi & jeevansaathi
Nai,[],shaadi & jeevansaathi
Naicken,,shaadi & jeevansaathi
Naicker,['Rajaka Chakali Dhobi'],shaadi & jeevansaathi
Naidu,"['Balija Naidu', 'Ediga / Goud', 'Gajula Kavarai', 'Gavara', 'Kamma', 'Kapu Naidu', 'Munnuru Kapu', 'Mutharaja', 'Perika', 'Raja Kambalathu Naicker', 'Raju', 'Reddy', 'Shetty Balija', 'Surya Balija', 'Telaga', 'Turupu Kapu', 'Vada Balija', 'Vadugan', 'Velama', 'Yadava Naidu']",shaadi & jeevansaathi
Naik,[],shaadi & jeevansaathi
Nair,"['Adiyodi', 'Anthur', 'Chekkala Nair', 'Illam', 'Kaimal', 'Kartha', 'Kiryathil', 'Kurup', 'Maniyani', 'Mannadiar', 'Marar', 'Menon', 'Nair All', 'Nambiar', 'Panicker', 'Pillai', 'Poduval', 'Thampi', 'Tharakan', 'Unnithan', 'Vaniya', 'Vellala Pillai', 'Veluthedathu', 'Vilakkithala']",shaadi & jeevansaathi
Namasudra,[],shaadi & jeevansaathi
Nambiar,[],shaadi & jeevansaathi
Nambisan,[],shaadi & jeevansaathi
Namboodiri,[],shaadi & jeevansaathi
Namdev,,shaadi & jeevansaathi
Nandiwale,[],shaadi & jeevansaathi
Napit,[],shaadi & jeevansaathi
Nath Jogi,[],shaadi & jeevansaathi
Nayak,,shaadi & jeevansaathi
Nayaka,,shaadi & jeevansaathi
Nayee (Barber),[],shaadi & jeevansaathi
Neeli,,shaadi & jeevansaathi
Nepali,[],shaadi & jeevansaathi
Nessi,[],shaadi & jeevansaathi
Nhavi,[],shaadi & jeevansaathi
Nonia,[],shaadi & jeevansaathi
Odan,[],shaadi & jeevansaathi
Oraon,[],shaadi & jeevansaathi
Oswal,[],shaadi & jeevansaathi
Otari,[],shaadi & jeevansaathi
Padmasali,"['Devanga', 'Jaandra', 'Kaikaala', 'Karakala Bhakthula', 'Karni Bhakthula', 'Kurni', 'Neeli Saali', 'Nessi', 'Pattusali', 'Shettigar', 'Swakula Saali', 'Thogata Veerakshathriya']",shaadi & jeevansaathi
Pal,[],shaadi & jeevansaathi
Panan,[],shaadi & jeevansaathi
Panchal,[],shaadi & jeevansaathi
Panchamsali,[],shaadi & jeevansaathi
Pandaram,[],shaadi & jeevansaathi
Panicker,[],shaadi & jeevansaathi
Pano,[],shaadi & jeevansaathi
Paravan,,shaadi & jeevansaathi
Parit,,shaadi & jeevansaathi
Parkava Kulam,[],shaadi & jeevansaathi
Parsi,,shaadi & jeevansaathi
Partraj,,shaadi & jeevansaathi
Parvatha Rajakulam,[],shaadi & jeevansaathi
Pasi,[],shaadi & jeevansaathi
Paswan,[],shaadi & jeevansaathi
Patel,"['Anjana (Chowdary) Patel', 'Desai', 'Dodia', 'Kadava Patel', 'Leva Patel', 'Matia Patel', 'Patel Desai']",shaadi & jeevansaathi
Patel Lodhi,[],shaadi & jeevansaathi
Pathare Prabhu,[],shaadi & jeevansaathi
Patnaick,[],shaadi & jeevansaathi
Patra,[],shaadi & jeevansaathi
Patwa,,shaadi & jeevansaathi
Perika,[],shaadi & jeevansaathi
Pillai,"['Aaru Nattu Vellala', 'Agamudayar / Arcot / Thuluva Vellala', 'Cherakula Vellalar', 'Desikar', 'Desikar Thanjavur', 'Illaththu Pillai', 'Isai Vellalar', 'Karkathar', 'Kodikal Pillai', 'Nanjil', 'Nanjil Mudali', 'Nankudi Vellalar', 'Othuvaar', 'Pandiya Vellalar', 'Saiva Pillai Thanjavur', 'Saiva Pillai Tirunelvi', 'Sengunthar / Kaikolar', 'Sozhiya Vellalar', 'Thondai Mandala Vellala', 'Veerakodi Vellala', 'Vellala Pillai']",shaadi & jeevansaathi
Pisharody,,shaadi & jeevansaathi
Poduval,,shaadi & jeevansaathi
Pollon Devandra Kula Vellalan,[],shaadi & jeevansaathi
Ponan,[],shaadi & jeevansaathi
Poosala,[],shaadi & jeevansaathi
Porwal,,shaadi & jeevansaathi
Poundra,[],shaadi & jeevansaathi
Prajapati,[],shaadi & jeevansaathi
Pulaya,,shaadi & jeevansaathi
Rabari,[],shaadi & jeevansaathi
Rai Sikh,[],shaadi & jeevansaathi
Raigar,[],shaadi & jeevansaathi
Raikwar,[],shaadi & jeevansaathi
Rajaka/Chakali/Dhobi,,shaadi & jeevansaathi
Rajbhar,[],shaadi & jeevansaathi
Rajbongshi,[],shaadi & jeevansaathi
Rajpurohit,[],shaadi & jeevansaathi
Rajput,"['Aheria Rajput', 'Baghel', 'Bais', 'Bankawat', 'Bargujar', 'Bhadauria', 'Bharbhunja', 'Bhatti', 'Bhriguvansha', 'Bisen', 'Bisht', 'Chandel', 'Chandravanshi', 'Chandrawat', 'Chauhan', 'Chawda / Chavada', 'Chib', 'Chundawat', 'Dhakare', 'Dixit', 'Doad', 'Dogra', 'Durgavanshi', 'Gahlot', 'Garhwal', 'Gautam', 'Gogawat', 'Gohil', 'Goud / Gaur', 'Jadeja', 'Jadon', 'Jamwal', 'Janjua', 'Jasrotia', 'Jaswal', 'Jhala', 'Kachwaha', 'Kalyat', 'Katoch', 'Kaushik', 'Khadagvanshi Khagi', 'Khangarot', 'Khati', 'Kirar', 'Kumaoni', 'Kuruvanshi', 'Kushwaha', 'Lodhi Rajput', 'Loniya Lonia Lunia', 'Madad', 'Mahror', 'Mahthan', 'Mahyavanshi', 'Manhas', 'Nagvanshi', 'Naruka', 'Nathawat', 'Negi', 'Nikumbh', 'Oad Rajput', 'Parihar', 'Parmar', 'Pratihar', 'Pundir', 'Raghuvanshi', 'Rajawal', 'Rajput Swarnkar', 'Rana', 'Rao', 'Rathore', 'Rawa Rajput', 'Rawal', 'Rohilla', 'Sagar Rajput', 'Sainthwar Rajput', 'Sarangdevot', 'Shakya', 'Shekhawat', 'Sikarwar', 'Singh', 'Sisodia', 'Solanki', 'Somvansha', 'Surwar', 'Suryavanshi', 'Tanwar', 'Thakur', 'Tomar', 'Ujjain', 'Vaishhya', 'Kalyanot', 'Karadiya / Nadoda', 'Mair Rajput Swarnkar', 'Pathania', 'Rawat', 'Sengar', 'Verma']",shaadi & jeevansaathi
Rajput Rohella Tank,[],shaadi & jeevansaathi
Ramdasia,[],shaadi & jeevansaathi
Ramgharia,,shaadi & jeevansaathi
Ramoshi Berad Bedar,[],shaadi & jeevansaathi
Rauniyar,,shaadi & jeevansaathi
Ravidasia,[],shaadi & jeevansaathi
Rawat,[],shaadi & jeevansaathi
Reddiar,,shaadi & jeevansaathi
Reddy,"['Ayodhi', 'Bhoomanchi Reddy', 'Chowdary', 'Desuru', 'Gandla', 'Ganjam', 'Gone Kapu', 'Gudati', 'Kapu', 'Motati', 'Palle', 'Palnati', 'Panta', 'Pedakanti', 'Poknati', 'Reddiar', 'Sajjana', 'Vanni', 'Velanati']",shaadi & jeevansaathi
Relli,[],shaadi & jeevansaathi
Rohit Chamar,[],shaadi & jeevansaathi
Ror,[],shaadi & jeevansaathi
SKP,[],shaadi & jeevansaathi
SSK,[],shaadi & jeevansaathi
Sadgop,,shaadi & jeevansaathi
Sagara,['Uppara'],shaadi & jeevansaathi
Saha,[],shaadi & jeevansaathi
Sahu,[],shaadi & jeevansaathi
Saini,[],shaadi & jeevansaathi
Saiva Vellala,,shaadi & jeevansaathi
Saliya,[],shaadi & jeevansaathi
Samagar,[],shaadi & jeevansaathi
Sambava,[],shaadi & jeevansaathi
Santhali,[],shaadi & jeevansaathi
Sargara,[],shaadi & jeevansaathi
Sathwara,[],shaadi & jeevansaathi
Satnami,[],shaadi & jeevansaathi
Savji,[],shaadi & jeevansaathi
Sawantwadi,[],shaadi & jeevansaathi
Senai Thalaivar,[],shaadi & jeevansaathi
Sepahia,,shaadi & jeevansaathi
Shah,[],shaadi & jeevansaathi
Shilpkar,[],shaadi & jeevansaathi
Shimpi,[],shaadi & jeevansaathi
Silawat,[],shaadi & jeevansaathi
Sillekyatha,[],shaadi & jeevansaathi
Sindhi,"['Sindhi Amil', 'Sindhi Baibhand', 'Sindhi Bhanusali', 'Sindhi Bhatia', 'Sindhi Chhapru', 'Sindhi Daru', 'Sindhi Hydrabadi', 'Sindhi Larai', 'Sindhi Larkan', 'Sindhi Larkana', 'Sindhi Lohana', 'Sindhi Rohiri', 'Sindhi Sahiti', 'Sindhi Sakkhar', 'Sindhi Sehwani', 'Sindhi Shikarpuri', 'Sindhi Thatai']",shaadi & jeevansaathi
Siyal,[],shaadi & jeevansaathi
Somvanshi,[],shaadi & jeevansaathi
Sonar,[],shaadi & jeevansaathi
Soni,,shaadi & jeevansaathi
Sonkar,[],shaadi & jeevansaathi
Sourashtra,[],shaadi & jeevansaathi
Sozhiya Vellalar,[],shaadi & jeevansaathi
Sri Vaishnava,,shaadi & jeevansaathi
Srisayana,[],shaadi & jeevansaathi
Sudi / Suri / Sundhi,[],shaadi & jeevansaathi
Sugali (Naika),[],shaadi & jeevansaathi
Sutar,[],shaadi & jeevansaathi
Swarnakar,[],shaadi & jeevansaathi
Tamboli,[],shaadi & jeevansaathi
Tammali,[],shaadi & jeevansaathi
Tanti,[],shaadi & jeevansaathi
Tantuway,[],shaadi & jeevansaathi
Telaga,[],shaadi & jeevansaathi
Teli,[],shaadi & jeevansaathi
Thachar,[],shaadi & jeevansaathi
Thakkar,[],shaadi & jeevansaathi
Thakur,,shaadi & jeevansaathi
Thandan,[],shaadi & jeevansaathi
Tharakan,[],shaadi & jeevansaathi
Thevar Mukkulathor,"['Agamudayar', 'Ambalakarar', 'Appanad Kondayamkottai Maravar', 'Easanattu Kallar', 'Kallar', 'Maniyakarar', 'Maravar', 'Piramalai Kallar', 'Rajakula Agamudayar', 'Sembanad Maravar', 'Servai', 'Thanjavur Kallar', 'Vallambar']",shaadi & jeevansaathi
Thigala,[],shaadi & jeevansaathi
Thiyya,"['Ezhava', 'Kavuthiya', 'Thiyya Thandan']",shaadi & jeevansaathi
Thuluva Vellala,,shaadi & jeevansaathi
Tili,[],shaadi & jeevansaathi
Togata,[],shaadi & jeevansaathi
Tonk Kshatriya,[],shaadi & jeevansaathi
Turi,[],shaadi & jeevansaathi
Udayar,,shaadi & jeevansaathi
Uppara,[],shaadi & jeevansaathi
Urali Gounder,,shaadi & jeevansaathi
Urs,,shaadi & jeevansaathi
Vadagalai,,shaadi & jeevansaathi
Vadar,[],shaadi & jeevansaathi
Vaddera,[],shaadi & jeevansaathi
Vaduka,[],shaadi & jeevansaathi
Vaidiki Velanadu,[],shaadi & jeevansaathi
Vaish,['Vaish Dhaneshawat'],shaadi & jeevansaathi
Vaishnav,"['Bairagi Swami', 'Vaishnav Bhatia', 'Vaishnav Dishaval', 'Vaishnav Kapol', 'Vaishnav Khadyata', 'Vaishnav Lad', 'Vaishnav Modh', 'Vaishnav Porvad', 'Vaishnav Shrimali', 'Vaishnav Sorathaiya', 'Vaishnav Vania']",shaadi & jeevansaathi
Vaishya,"['Mahuri', 'Mathur Vaishya']",shaadi & jeevansaathi
Vaishya Vani,[],shaadi & jeevansaathi
Vallala,[],shaadi & jeevansaathi
Valluvan,[],shaadi & jeevansaathi
Valmiki,[],shaadi & jeevansaathi
Vania,[],shaadi & jeevansaathi
Vanika Vyshya,,shaadi & jeevansaathi
Vaniya-Nair,['Vaniya'],shaadi & jeevansaathi
Vanjara,[],shaadi & jeevansaathi
Vankar,[],shaadi & jeevansaathi
Vannan,,shaadi & jeevansaathi
Vannar,[],shaadi & jeevansaathi
Vannia Kula Kshatriyar,"['Arasu', 'Gounder', 'Naicker', 'Padayachi', 'Palli', 'Pandal', 'Urs', 'Vannia Reddiar', 'Vanniyar']",shaadi & jeevansaathi
Variar,[],shaadi & jeevansaathi
Varshney,[],shaadi & jeevansaathi
Veerashaiva,,shaadi & jeevansaathi
Velaan,[],shaadi & jeevansaathi
Velama,"['Adivelama', 'Koppula', 'Padmanayaka', 'Polinati', 'Yellapa']",shaadi & jeevansaathi
Velan,[],shaadi & jeevansaathi
Velar,,shaadi & jeevansaathi
Vellalar,"['Aaru Nattu Vellala', 'Agamudayar / Arcot / Thuluva Vellala', 'Cherakula Vellalar', 'Desikar', 'Devendra Kula Vellalar', 'Illaththu Pillai', 'Isai Vellalar', 'Karkathar', 'Kodikal Pillai', 'Kongu Vellala Gounder', 'Nanjil Mudali', 'Nanjil Nattu Vellalar', 'Nanjil Vellalar', 'Nankudi Vellalar', 'Othuvaar', 'Pandiya Vellalar', 'Saiva Pillai Thanjavur', 'Saiva Pillai Tirunelveli', 'Saiva Vellalar', 'Sengunthar / Kaikolar', 'Sozhiya Vellalar', 'Thondai Mandala Vellala', 'Veerakodi', 'Vellalar All']",shaadi & jeevansaathi
Veluthedathu,['Nair'],shaadi & jeevansaathi
Vettuva Gounder,[],shaadi & jeevansaathi
Vettuvan,[],shaadi & jeevansaathi
Vishwakarma,"['Black Smith', 'Carpentry (Vadrangi, Vadla)', 'Goldsmiths', 'Sculptor (Shilpi)']",shaadi & jeevansaathi
Viswabrahmin,,shaadi & jeevansaathi
Vokkaliga,[],shaadi & jeevansaathi
Vysya,[],shaadi & jeevansaathi
Wani,[],shaadi & jeevansaathi
Yadav,"['Aheer / Ahir', 'Ala Golla', 'Daddi', 'Das', 'Dhador', 'Erragola', 'Gadri / Gadariya', 'Gauda', 'Gawli', 'Goal / Gola / Golla', 'Gop / Gopal / Gopala', 'Goriya', 'Gwala', 'Gwalvanshi', 'Jadav', 'Kohar', 'Konar', 'Korna', 'Krishnauth', 'Kurudas Gollas', 'Kuruma', 'Mandal', 'Manjrauth', 'Nandvanshi', 'Pakanati', 'Puja', 'Raut', 'Suryavanshi', 'Thethwar', 'Yadav Golla', 'Yaduvanshi']",shaadi & jeevansaathi
Yellapu,[],shaadi & jeevansaathi
patel Dodia,[],shaadi & jeevansaathi
patel Kadva,[],shaadi & jeevansaathi
patel Leva,"['27 Gam', 'Baavis Gam', 'Chaa Gam', 'Chovis Gam', 'Mota Sattavi', 'Nani Sattavi', 'Panch Gam']",shaadi & jeevansaathi
Muslim,"['Ansari','Arain', 'Awan', 'Dawoodi Bohra', 'Dekkani', 'Dudekula', 'Khoja', 'Lebbai', 'Maraicar', 'Memon', 'Mughal', 'Pathan', 'Qureshi', 'Rowther', 'Shafi', 'Sheikh', 'Shia', 'Shia Bohra', 'Shia Imami Ismaili', 'Shia Zaidi', 'Shia Ithna ashariyyah', 'Siddiqui', 'Sunni', 'Sunni Ehle-Hadith', 'Sunni Hanafi', 'Sunni Hunbali', 'Sunni Maliki', 'Sunni Shafi', 'Syed']",shaadi & jeevansaathi
Christian,"[""Anglo Indian"", ""Basel Mission"", ""Bretheren"", ""CMS"", ""Cannonite"", ""Catholic - Knanaya"", ""Catholic - Latin"", ""Catholic - Malankara"", ""Catholic - Roman"", ""Catholic - Syrian"", ""Chaldean"", ""Church of North India (CNI)"", ""Church of South India (CSI)"", ""Convert"", ""Evangelical"", ""IPC"", ""Indian Orthodox"", ""Jacobite Knanya"", ""Jacobite - Syrian"", ""Knanaya Pentecostal"", ""Malankara"", ""Marthoma"", ""Methodist"", ""Mormon"", ""Orthodox"", ""Pentecost"", ""Presbyterian"", ""Protestant"", ""RCSC"", ""Salvation Army"", ""Seventh day Adventist"", ""Syrian - Malabar"", ""Syrian - Orthodox""]",shaadi & jeevansaathi
Jain,"['Shwetamber', 'Vania' , 'Digambar']",shaadi & jeevansaathi
Sikh,"[""Ahluwalia"", ""Clean Shaven"", ""Gursikh"", ""Kesadhari"", ""Labana"", ""Mazhbi/Majabi""]",shaadi & jeevansaathi