caste1,caste2,score
BANIYA,BAIGA,2
BANIYA,BADIA,2
BANIYA,BARIA,2
BANIYA,JATIYA,2
BANJARA,PINJARA,2
BANJARA,VANJARI,2
BANJARA,PINJARA,2
BANJARA,BANJARA,0
BARI,KARVI,2
BARI,MALI,2
BARI,MAVI,2
BARI,PARDI,2
BARI,PARIT,2
BARI,VANI,2
BARI,WAMI,2
BARI,BARDA,2
BARI,VARLI,2
BARI,KORI,2
BARI,PASI,2
BARI,TURI,2
BARI,BAGDI,2
BARI,BADIA,2
BARI,BARI,0
BARI,BARIA,1
BARI,GADRI,2
BARI,NAVI,2
BARI,BANDI,2
BARI,SALI,2
BARI,WADI,2
BARI,AGRI,2
BARI,MALI,2
BARI,BHOI,2
BARI,OTARI,2
BARI,DARJI,2
BERAD,BURUD,2
BERAD,BAKAD,2
BERAD,BEDAR,2
BERAD,BERAD,0
BHOEP,BHOI,2
BRAHMAN,BRAHMIN,1
BURUD,BERAD,2
CHAMBHAR,CHAMTHA,2
DHANGAR,DHANKA,2
DHANGAR,DHANWAR,1
DHANGAR,KHANGAR,1
DHANGAR,DABGAR,2
DHANGAR,DHANGAR,0
DHANGAR,SANGAR,2
DHANGAR,DHANGAR,0
DHANGAR,HANBAR,2
DHIWAR,DHANWAR,2
DHIWAR,DHAWAD,2
DHOBI,HOLI,2
DHOBI,DHODIA,2
DHOBI,THOTI,2
DHOBI,DHOR,2
DHOBI,DHOLI,1
DHOBI,BHOI,2
DOMBARI,DOMMARA,2
GANDALI,GAVALI,2
GANDALI,GANDA,2
GANDALI,GANALI,1
GANDALI,GONDHALI,2
GAVALI,GAWLI,2
GAVALI,GAVANDI,2
GAVALI,MAHALI,2
GAVALI,DAVARI,2
GAVALI,GANALI,1
GAVALI,GOVARI,2
GOLKAR,HOLAR,2
GOLKAR,HOLAR,2
GOND,GOVIND,2
GOND,GOND,0
GOND,KONDH,2
GOND,GANDA,2
GOVIND,GOND,2
GOWARI,POWAR,2
GOWARI,JOHARI,2
GOWARI,LONARI,2
GOWARI,GOSAVI,2
GOWARI,OTARI,2
GOWARI,POWAR,2
GOWARI,GOVARI,1
GURAV,GUROU,2
HANBER,HANBAR,1
HOLAR,HOLI,2
HOLAR,KALAR,2
HOLAR,KOLAM,2
HOLAR,LOHAR,2
HOLAR,POWAR,2
HOLAR,SONAR,2
HOLAR,KOLAM,2
HOLAR,HALSAR,2
HOLAR,HOLAR,0
HOLAR,HOLAYA,2
HOLAR,LOHAR,2
HOLAR,SONAR,2
HOLAR,POWAR,2
HOLAR,BHOYAR,2
HOLI,KOLI,1
HOLI,MALI,2
HOLI,TELI,2
HOLI,KOL,2
HOLI,THOTI,2
HOLI,HOLAR,2
HOLI,KORI,2
HOLI,DHOLI,1
HOLI,JOGI,2
HOLI,KOLI,1
HOLI,SALI,2
HOLI,TELI,2
HOLI,MALI,2
HOLI,BHOI,2
HOLI,KOHLI,2
JAIN,JOGIN,2
KAIKADI,KAIKADI,0
KAIKADI,RAIKARI,2
KALAR,KOLAM,2
KALAR,MAHAR,2
KALAR,PAWAR,2
KALAR,WADAR,2
KALAR,KAMAR,1
KALAR,KAWAR,1
KALAR,KOLAM,2
KALAR,SAWAR,2
KALAR,HALSAR,2
KALAR,HOLAR,2
KALAR,MAHAR,2
KALAR,MALA,2
KALAR,KASAR,1
KALAR,KATHAR,2
KALAR,KALAL,1
KARVI,MAVI,2
KARVI,PARDI,2
KARVI,VARLI,2
KARVI,KORI,2
KARVI,BARI,2
KARVI,KAMMI,2
KARVI,KAPDI,2
KARVI,KASBI,2
KARVI,KACHI,2
KARVI,KATHI,2
KARVI,NAVI,2
KARVI,DARJI,2
KOHALI,KOLI,2
KOHALI,JOHARI,2
KOHALI,KHATI,2
KOHALI,KOLI,2
KOHALI,MAHALI,2
KOHALI,KOHLI,1
KOLAM,KOLI,2
KOLAM,KOL,2
KOLAM,KOLAM,0
KOLAM,KOYA,2
KOLAM,HOLAR,2
KOLAM,KOLI,2
KOLAM,KALAL,2
KOLI,MALI,2
KOLI,TELI,2
KOLI,KOL,1
KOLI,KOLAM,2
KOLI,KOYA,2
KOLI,KORI,1
KOLI,DHOLI,2
KOLI,JOGI,2
KOLI,KOLI,0
KOLI,SALI,2
KOLI,TELI,2
KOLI,MALI,2
KOLI,KOHLI,1
KORKU,KORKU,0
KORKU,KORI,2
KOSHTI,MASHTI,2
KOSHTI,KOSHTI,0
KOSHTI,JOSHI,2
KOSHTI,KOHLI,2
KUMBI,KUNBI,1
KUMBI,KAMMI,2
KUMBI,KASBI,2
KUMBI,KUNBI,1
KUMHAR,KAMAR,2
KUMHAR,KUMBHAR,1
KUMHAR,KURMAR,2
KUMHAR,KATHAR,2
KUMHAR,KUMBARA,2
KUNBI,KASBI,2
KUNBI,KUNBI,0
LAMAN,KAMAR,2
LAMAN,LAZAD,2
LODHI,WADHI,2
LODHI,JOSHI,2
LOHAR,MAHAR,2
LOHAR,POWAR,2
LOHAR,SONAR,2
LOHAR,HOLAR,2
LOHAR,MAHAR,2
LOHAR,JOHARI,2
LOHAR,LOHAR,0
LOHAR,SONAR,2
LOHAR,LONARI,2
LOHAR,POWAR,2
MAHAR,MANA,2
MAHAR,PAWAR,2
MAHAR,WADAR,2
MAHAR,KAMAR,2
MAHAR,KAWAR,2
MAHAR,SAWAR,2
MAHAR,MAHAR,0
MAHAR,MALA,2
MAHAR,KASAR,2
MAHAR,LOHAR,2
MAHAR,MAHLI,2
MAHAR,MEDAR,2
MAHAR,MAHALI,2
MAHAR,KATHAR,2
MAHAR,PAHAD,2
MAHAR,MAHAT,1
MAHAR,PAHAD,2
MALI,MANA,2
MALI,MANG,2
MALI,MAVI,1
MALI,TELI,2
MALI,VANI,2
MALI,WAMI,2
MALI,VARLI,2
MALI,MADGI,2
MALI,MALA,1
MALI,MANG,2
MALI,PASI,2
MALI,BARI,2
MALI,GAWLI,2
MALI,KOLI,2
MALI,MAHLI,1
MALI,MAHALI,2
MALI,NAVI,2
MALI,SALI,1
MALI,WADI,2
MALI,TELI,2
MALI,MALI,0
MANA,MANG,1
MANA,MANNE,2
MANA,MAVI,2
MANA,VANI,2
MANA,BAHNA,2
MANA,GANDA,2
MANA,MAHAR,2
MANA,MALA,1
MANA,MANG,1
MANA,MANNE,2
MANA,MINA,1
MANA,PANKA,2
MANA,MALI,2
MANA,MAHAT,2
MANA,MULANA,2
MANG,MANNE,2
MANG,MATANG,2
MANG,MAVI,2
MANG,VANI,2
MANG,MADGI,2
MANG,MALA,2
MANG,MANG,0
MANG,MANNE,2
MANG,MINA,2
MANG,MALI,2
MANNE,MANG,2
MANNE,MANNE,0
MARATHA,MARATHA,0
MATANG,MANG,2
MAVI,NHAVI,2
MAVI,VANI,2
MAVI,WAMI,2
MAVI,MADGI,2
MAVI,MALA,2
MAVI,MANG,2
MAVI,PASI,2
MAVI,BARI,2
MAVI,MAHLI,2
MAVI,NAVI,1
MAVI,SALI,2
MAVI,WADI,2
MAVI,MALI,1
NHAVI,GHASI,2
NHAVI,BHAVIN,2
NHAVI,JHADI,2
NHAVI,KHATI,2
NHAVI,NAVI,1
PANCHAL,PANCHAL,0
PANCHAL,PANCAL,1
PANCHAL,PANCHAMA,2
PARDESI,PARDI,2
PARDESI,DARWESI,2
PARDI,PARIT,2
PARDI,BARDA,2
PARDI,PARJA,2
PARDI,VARLI,2
PARDI,PASI,2
PARDI,BAGDI,2
PARDI,BARI,2
PARDI,KAPDI,2
PARDI,PERKI,2
PARDI,BANDI,2
PARDI,WADI,2
PARDI,GARUDI,2
PARDI,DARJI,2
PARIT,GAMIT,2
PARIT,PARJA,2
PARIT,PASI,2
PARIT,BARI,2
PARIT,BARIA,2
PARIT,PAREET,2
PATHAN,PRADHAN,2
PATHAN,PARDHAN,2
PATHAN,PATKAR,2
PATHAN,KATHAR,2
PATHAN,PAHAD,2
PATHAN,PAHAD,2
PAWAR,POWAR,1
PAWAR,WADAR,2
PAWAR,KAMAR,2
PAWAR,KAWAR,1
PAWAR,SAWAR,1
PAWAR,MAHAR,2
PAWAR,KASAR,2
PAWAR,PADIAR,2
PAWAR,PATKAR,2
PAWAR,POWAR,1
PAWAR,PAHAD,2
PAWAR,PAHAD,2
PINJARA,PINJARA,0
PINJARA,BANJARA,2
POWAR,SONAR,2
POWAR,KAWAR,2
POWAR,SAWAR,2
POWAR,HOLAR,2
POWAR,LOHAR,2
POWAR,SONAR,2
POWAR,POWAR,0
PRADHAN,PARDHAN,2
RAMOSHI,RAMOSHI,0
SHIMPI,SHIMPI,0
SONAR,SUTAR,2
SONAR,SAWAR,2
SONAR,HOLAR,2
SONAR,LOHAR,2
SONAR,SANGAR,2
SONAR,SONAR,0
SONAR,SUTAR,2
SONAR,LONARI,2
SONAR,POWAR,2
SUTAR,SAWAR,2
SUTAR,SONAR,2
SUTAR,SUTAR,0
SUTAR,ATTAR,2
TELI,TURI,2
TELI,DEVLI,2
TELI,KOLI,2
TELI,NEELI,2
TELI,SALI,2
TELI,TELI,0
TELI,MALI,2
VANI,WAMI,2
VANI,VARLI,2
VANI,MANG,2
VANI,PASI,2
VANI,SANSI,2
VANI,BARI,2
VANI,NAVI,2
VANI,BANDI,2
VANI,SALI,2
VANI,WADI,2
VANI,MALI,2
WADAR,WADHI,2
WADAR,KAMAR,2
WADAR,KAWAR,2
WADAR,SAWAR,2
WADAR,BEDAR,2
WADAR,MAHAR,2
WADAR,KASAR,2
WADAR,MEDAR,2
WADAR,PADIAR,2
WADAR,WADI,2
WADAR,WADHAI,2
WADAR,VADDAR,2
WADHI,WAMI,2
WADHI,WATHI,1
WADHI,MADGI,2
WADHI,GADRI,2
WADHI,KACHI,2
WADHI,KATHI,2
WADHI,WADI,1
WADHI,WADHAI,1
WADHI,WARTHI,2
WAMI,WATHI,2
WAMI,GAMIT,2
WAMI,PASI,2
WAMI,BARI,2
WAMI,KAMMI,2
WAMI,NAVI,2
WAMI,SALI,2
WAMI,WADI,1
WAMI,MALI,2
WATHI,KACHI,2
WATHI,KATHI,1
WATHI,WADI,2
WATHI,WADHAI,2
WATHI,WARTHI,1
ANDH,KONDH,2
ANDH,GANDA,2
ANDH,BANDI,2
BAIGA,BARDA,2
BAIGA,BHAINA,2
BAIGA,BAHNA,2
BAIGA,MADIGA,2
BAIGA,BADIA,2
BAIGA,BAJIGAR,2
BAIGA,BARIA,2
BARDA,PARJA,2
BARDA,BAHNA,2
BARDA,GANDA,2
BARDA,GARODA,2
BARDA,BAGDI,2
BARDA,BADIA,2
BARDA,BARI,2
BARDA,BARIA,1
BARDA,BANDI,2
BHAINA,BAHNA,2
BHAINA,BHAND,2
BHAINA,BHAVIN,2
BHAINA,BHANTA,2
BHAINA,BHAMTA,2
BHAINA,BHAMTA,2
BHATTRA,BHANTA,2
BHATTRA,BHAMTA,2
BHATTRA,BHAMTA,2
BHIL,BHOI,2
DHANKA,DHANWAR,2
DHANKA,BHANTA,2
DHANKA,DHANGAR,2
DHANKA,PANKA,2
DHANKA,DHANGAR,2
DHANWAR,KHANGAR,2
DHANWAR,DHANGAR,1
DHANWAR,DHANGAR,1
DHANWAR,HANBAR,2
DHANWAR,DHAWAD,2
DHODIA,DHOLI,2
DHODIA,THORIA,2
GOND,KONDH,2
GOND,GANDA,2
HALBA,HALSAR,2
HALBA,MALA,2
HALBA,HANBAR,2
KAMAR,KAWAR,1
KAMAR,SAWAR,2
KAMAR,MAHAR,2
KAMAR,KAMMI,2
KAMAR,KAMATI,2
KAMAR,KURMAR,2
KAMAR,KASAR,1
KAMAR,KATHAR,2
KAMAR,KALAL,2
KATHODI,KATHI,2
KAWAR,SAWAR,1
KAWAR,MAHAR,2
KAWAR,KASAR,1
KAWAR,KATHAR,2
KAWAR,POWAR,2
KAWAR,KALAL,2
KHARIA,KATIA,2
KHARIA,KHATIK,2
KHARIA,BARIA,2
KHARIA,KHATI,2
KHARIA,THORIA,2
KHARIA,KHATIK,2
KOKNA,KOYA,2
KOL,KOLAM,2
KOL,KOYA,2
KOL,DOM,2
KOL,KORI,2
KOL,KOLI,1
KOL,KOHLI,2
KOLAM,KOYA,2
KOLAM,HOLAR,2
KOLAM,KOLI,2
KOLAM,KALAL,2
KORKU,KORI,2
KOYA,KORI,2
KOYA,KOLI,2
ORAON,RAOT,2
PARJA,BARIA,2
PARJA,PANKA,2
PARJA,DARJI,2
SAWAR,MAHAR,2
SAWAR,KASAR,2
SAWAR,SANGAR,2
SAWAR,SONAR,2
SAWAR,SUTAR,2
SAWAR,POWAR,2
THAKUR,THAKKAR,2
THOTI,DHOLI,2
THOTI,KHATI,2
THOTI,THORIA,2
THOTI,THOGTI,1
THOTI,BHOI,2
VARLI,BARI,2
VARLI,GAWLI,2
VARLI,MAHLI,2
VARLI,SALI,2
VARLI,MALI,2
VARLI,DARJI,2
AGER,AGRI,2
ARAY MALA,ARWA MALA,2
BAHNA,BADIA,2
BAHNA,BARIA,2
BAKAD,BERAD,2
BAKAD,PAHAD,2
BAKAD,PAHAD,2
BAKAD,LAZAD,2
BASOR,KASAR,2
BEDAR,MEDAR,1
BEDAR,BERAD,2
BEDAR,BELDAR,1
BHAMBI,BHANGI,2
BHAMBI,BHAMTA,2
BHAMBI,BHAMTA,2
BHANGI,BHAND,2
BHANGI,BHANTA,2
BHANGI,BANDI,2
DAKKAL,SAKKA,2
DHOR,DOM,2
DHOR,DHOLI,2
DHOR,BHOI,2
DOM,DAS,2
GANDA,GARODA,2
GANDA,PANKA,2
GANDA,BANDI,2
GARODA,GARUDI,2
GHASI,PASI,2
GHASI,JHADI,2
GHASI,KHATI,2
GHASI,GHADSHI,2
GHASI,UDASI,2
HALSAR,HOLAR,2
HALSAR,HATKAR,2
HALSAR,KASAR,2
HALSAR,BHALDAR,2
HALSAR,HANBAR,2
HOLAR,HOLAYA,2
HOLAR,LOHAR,2
HOLAR,SONAR,2
HOLAR,POWAR,2
HOLAR,BHOYAR,2
KAIKADI,RAIKARI,2
KATIA,KHATIK,2
KATIA,NADIA,2
KATIA,BADIA,2
KATIA,BARIA,2
KATIA,JATIYA,2
KATIA,KHATI,2
KATIA,KATHI,2
KATIA,LADIA,2
KATIA,KATHAR,2
KATIA,KHATIK,2
KHANGAR,DHANGAR,1
KHANGAR,SANGAR,2
KHANGAR,DHANGAR,1
KHANGAR,HANBAR,2
KHATIK,KHATI,1
KHATIK,KHATIK,0
KORI,TURI,2
KORI,BARI,2
KORI,JOGI,2
KORI,KOLI,1
KORI,AGRI,2
KORI,KOHLI,2
MADGI,MADIGA,2
MADGI,MANG,2
MADGI,GADRI,2
MADGI,MAHLI,2
MADGI,WADI,2
MADGI,MALI,2
MADIGA,NADIA,2
MADIGA,BADIA,2
MADIGA,LADIA,2
MAHAR,MALA,2
MAHAR,KASAR,2
MAHAR,LOHAR,2
MAHAR,MAHLI,2
MAHAR,MEDAR,2
MAHAR,MAHALI,2
MAHAR,KATHAR,2
MAHAR,PAHAD,2
MAHAR,MAHAT,1
MAHAR,PAHAD,2
MALA,MANG,2
MALA,MINA,2
MALA,MAHLI,2
MALA,SALI,2
MALA,MALI,1
MALA,KALAL,2
MALA,MAHAT,2
MANG,MANNE,2
MANG,MINA,2
MANG,MALI,2
MASHTI,KOSHTI,2
MASHTI,MACHHI,2
MASHTI,MAHLI,2
MUKRI,TURI,2
NADIA,BADIA,1
NADIA,BARIA,2
NADIA,LADIA,1
NADIA,NAVI,2
NADIA,NONIA,2
NADIA,PADIAR,2
NADIA,WADI,2
PASI,SANSI,2
PASI,BARI,2
PASI,DAS,2
PASI,KASBI,2
PASI,NAVI,2
PASI,SALI,2
PASI,WADI,2
PASI,MALI,2
PASI,UDASI,2
SANSI,BANDI,2
SANSI,SALI,2
TIRGAR,JINGAR,2
TIRGAR,NILGAR,2
TURI,BARI,2
TURI,AGRI,2
TURI,TELI,2
TURI,OTARI,2
BAGDI,BADIA,2
BAGDI,BARI,2
BAGDI,KAPDI,2
BAGDI,BANDI,1
BAGDI,WADI,2
BAGDI,AGRI,2
BADIA,BARI,2
BADIA,BARIA,1
BADIA,LADIA,1
BADIA,PADIAR,2
BADIA,BANDI,2
BADIA,WADI,2
BAJANIA,SARANIA,2
BAJIGAR,JATIGAR,2
BHAND,BHANTA,2
BHAND,BHAAT,2
BHAND,BANDI,2
BARI,BARIA,1
BARI,GADRI,2
BARI,NAVI,2
BARI,BANDI,2
BARI,SALI,2
BARI,WADI,2
BARI,AGRI,2
BARI,MALI,2
BARI,BHOI,2
BARI,OTARI,2
BARI,DARJI,2
BARIA,LADIA,2
BHANTA,BHAAT,2
BHANTA,BHAMTA,1
BHANTA,BHAMTA,1
BHANTA,BHAMPTA,2
BHAAT,BHAMTA,2
BHAAT,BHAMTA,2
CHAMTHA,BHAMTA,2
CHAMTHA,BHAMTA,2
DAS,UDASI,2
DABGAR,DHANGAR,2
DABGAR,SANGAR,2
DABGAR,DHANGAR,2
DEVLI,DEVDIG,2
DEVLI,DHOLI,2
DEVLI,NEELI,2
DEVLI,TELI,2
DHOLI,KOLI,2
DHOLI,BHOI,2
DHANGAR,SANGAR,2
DHANGAR,DHANGAR,0
DHANGAR,HANBAR,2
GADARIA,GADRI,2
GADARIA,PADHARIA,2
GADARIA,GADARIYA,1
GADRI,GAWLI,2
GADRI,WADI,2
GADRI,AGRI,2
GADHAVI,WADHAI,2
GADHAVI,RAGHAVI,2
GAWLI,MAHLI,2
GAWLI,SALI,2
GAWLI,MALI,2
GAWLI,GANALI,2
HATKAR,PATKAR,1
HATKAR,KATHAR,2
HATKAR,THAKKAR,2
HATKAR,ATTAR,2
HATKAR,HANBAR,2
JATIYA,JATIGAR,2
JAVERI,DAVARI,2
JOGI,JOGIN,1
JOGI,KOLI,2
JOGI,JOSHI,2
JOGIN,MOMIN,2
JOHARI,JHADI,2
JOHARI,LOHAR,2
JOHARI,LONARI,2
JOHARI,OTARI,2
JOHARI,GOVARI,2
JULAHA,MULANA,2
JANGAM,JINGAR,2
JANGAM,SANGAR,2
JINGAR,SANGAR,2
JINGAR,NILGAR,2
JHADI,KHATI,2
JHADI,WADI,2
KAMMI,KAPDI,2
KAMMI,KAMATI,2
KAMMI,KASBI,2
KAMMI,KACHI,2
KAMMI,KATHI,2
KAPDI,KASBI,2
KAPDI,KACHI,2
KAPDI,KATHI,2
KAPDI,BANDI,2
KAPDI,WADI,2
KHATI,KAMATI,2
KHATI,KATHI,2
KHATI,KHATIK,1
KASBI,KUNBI,2
KASBI,KACHI,2
KASBI,KATHI,2
KASBI,KASAR,2
KOLI,SALI,2
KOLI,TELI,2
KOLI,MALI,2
KOLI,KOHLI,1
KOSHTI,JOSHI,2
KOSHTI,KOHLI,2
KUMBHAR,KUMBARA,2
KACHI,KATHI,1
KACHI,MACHHI,2
KATHI,WARTHI,2
KATHI,KATHAR,2
KASAR,KATHAR,2
KASAR,KALAL,2
LABHA,LADIA,2
LADIA,PADIAR,2
LADIA,WADI,2
LAKHERA,LAKHARI,2
LOHAR,SONAR,2
LOHAR,LONARI,2
LOHAR,POWAR,2
MACHHI,MAHLI,2
MINA,MITHA,2
MAHLI,MAHALI,1
MAHLI,SALI,2
MAHLI,MALI,1
MAHLI,KOHLI,2
MAHLI,MAHAT,2
MEDAR,BELDAR,2
MAHALI,PAKHALI,2
MAHALI,MALI,2
MAHALI,GANALI,2
MAHALI,MAHAT,2
MATHURA,NETHURA,2
NAVI,SALI,2
NAVI,WADI,2
NAVI,MALI,2
NEELI,TELI,2
PADIAR,PATKAR,2
PADIAR,VADDAR,2
PAKHALI,LAKHARI,2
PANCHAL,PANCAL,1
PANCHAL,PANCHAMA,2
PANKA,PATKAR,2
PANKA,SAKKA,2
PANKA,PANCAL,2
PATKAR,KATHAR,2
PATKAR,ATTAR,2
PHULARI,THELARI,2
RAIKARI,RANGARI,2
BANDI,WADI,2
RANGARI,SANGAR,2
RANGARI,VANJARI,2
RANGREZ,RANGREJ,1
SANGAR,SONAR,2
SANGAR,DHANGAR,2
SANGAR,HANBAR,2
SANJOGI,MASANJOGI,2
SAHIS,SALI,2
SALI,WADI,2
SALI,TELI,2
SALI,MALI,1
SONAR,SUTAR,2
SONAR,LONARI,2
SONAR,POWAR,2
WADI,WADHAI,2
WADI,MALI,2
VANJARI,BANJARA,2
SUTAR,ATTAR,2
PINJARA,BANJARA,2
DAVARI,GOVARI,2
TELI,MALI,2
LONARI,OTARI,2
LONARI,GOVARI,2
BHANDARI,BHALDAR,2
KATHAR,ATTAR,2
LANZAD,LAZAD,1
BHAMTA,BHAMTA,0
BHAMTA,BHAMPTA,1
PAL PARDHI,RAJ PARDHI,2
BHAMTA,BHAMPTA,1
GOSAVI,GOVARI,2
BELDAR,BHALDAR,2
PANGUL,PANCAL,2
VAIDU,VEDU,2
OTARI,GOVARI,2
DHANGAR,HANBAR,2
PAHAD,MAHAT,2
PAHAD,PAHAD,0
PAHAD,LAZAD,2
MAHAT,PAHAD,2
PAHAD,LAZAD,2
